Setting,Sterilization,Nutrients,Container_type,Container_size,Substrate,Reference
Incubator,,,Petri,6 cm,Kimpak,"Nosko, P. B., Pierre; Kramer, James R.; Kershaw, Kenneth A. (1988). ""The effect of aluminum on seed germination and early seedling establishment, growth, and respiration of white spruce (Picea glauca)."" Canadian Journal of Botany 66(11): 2305-2310."
Incubator,,,Petri,9 cm,Filter paper,"Nozzolillo, C. T., Ingrid (1983). ""Aspects of Germination of Impatiens capensis Meerb., Formae capensis and immaculata, and I. pallida Nutt."" Bulletin of the Torrey Botanical Club 110(3): 335-344."
Incubator,,,Petri,,,"Núñez, M. R. C., L. (2000). ""Effect of high temperatures on seed germination of Pinus sylvestris and Pinus halepensis."" Forest Ecology and Management 131(1-3): 183-190."
Incubator,,,Petri,9 cm,Cotton wool,"Okagami, N. and K. Terui (1996). ""Differences in the Rates of Metabolism of Various Triacylglycerols during Seed Germination and the Subsequent Growth of Seedlings of Dioscorea tokoro, a Perennial Herb."" Plant and Cell Physiology 37(3): 273-277."
Incubator,,,Petri,9 cm,Cotton wool,"Okagami, N. and M. Kawai (1977). ""Dormancy in Dioscorea: Gibberellin-Induced Inhibition or Promotion in Seed Germination of D. tokoro and D. tenuipes in Relation to Light Quality."" Plant Physiology 60(3): 360-362."
Incubator,,,Petri,9 cm,Cotton wool,"Okagami, N. K., Masashi (1982). ""Dormancy inDioscorea: Differences of temperature responses in seed germination among six Japanese species."" The Botanical Magazine Tokyo 95(2): 155-166."
Incubator,,,Petri,9 cm,Filter paper,"Oliveira, G., et al. (2012). ""Testing Germination of Species for Hydroseeding Degraded Mediterranean Areas."" Restoration Ecology 20(5): 623-630."
Greenhouse,,,Box,,Sand,"Oomes, M. J. M. E., W. Th (1976). ""Germination of Six Grassland Herbs in Microsites with Different Water Contents."" The Journal of Ecology 64(2): 745-755."
Incubator,,,Box,12 × 8 × 5 cm,Filter paper,"O'Reilly, C. and N. De Atrip (2007). ""Seed moisture content during chilling and heat stress effects after chilling on the germination of common alder and downy birch seeds."" Silva Fennica 41(2): 235-246."
Incubator,,,Petri,,Filter paper,"Ostroshenko, V. I. and V. V. Ostroshenko (2018). ""Influence of growth stimulators on germination energy and ability of scots pine seeds (Pinus Sylvestris L.)."" Research Journal of Pharmaceutical Biological and Chemical Sciences 9(1): 529-535."
Incubator,,,Box,17 × 10.5 × 6 cm,Cotton wool,"Ozbingol, N. (2005). ""Increasing acorn moisture content followed by freezing-storage enhances germination in pedunculate oak."" Forestry 78(1): 73-81."
Incubator,,,Petri,,Filter paper,"Pannangpetch, K. and E. W. Bean (1984). ""Effects of Temperature on Germination in Populations of Dactylis glomerata from NW Spain and Central Italy."" Annals of Botany 53(5): 633-639."
Incubator,0.2% (v/v) solution of sodium hypochlorite at 4°C overnight,MS medium,Petri,,MS medium,"Pari?, A., et al. (2008). ""Breaking dormancy of two endemic Lilium species: Lilium bosniacum (G. Beck) Beck ex Fritsch and Lilium martagon L. var. cattaniae Vis."" Seed Science and Technology 36(3): 788-791."
Incubator,,,Petri,,Filter paper,"Parker, W. C., et al. (2006). ""The Effects of Seed Mass on Germination, Seedling Emergence, and Early Seedling Growth of Eastern White Pine (Pinus strobus L.)."" New Forests 32(1): 33-49."
Incubator,,,Box,26 x 18 cm,Sand,"Pasquini, N. M. and G. E. Defossé (2012). ""Effects of storage conditions and pre-chilling periods on germinability of Pinus ponderosa seeds from Patagonia, Argentina: preliminary study."" Bosque (Valdivia) 33(1): 23-24."
Incubator,,,Box,,Sand,"Pasquini, S., et al. (2011). ""Effect of different storage conditions in recalcitrant seeds of holm oak (Quercus ilex L.) during germination."" Seed Science and Technology 39(1): 165-177."
Incubator,,,Petri,,Filter paper,"Patten, D. T. (1963). ""Light and Temperature Influence on Engelmann Spruce Seed Germination and Subalpine Forest Advance."" Ecology 44(4): 817-818."
Incubator,,,Tray,,,"Paw?owski, T. A., et al. (2004). ""Cell Cycle Activity and  -Tubulin Accumulation During Dormancy Breaking of Acer platanoides L. seeds."" Biologia Plantarum 48(2): 211-218."
Incubator,,,,,,"Pawlowski, T. A. (2009). ""Proteome analysis of Norway maple (Acer platanoides L.) seeds dormancy breaking and germination: influence of abscisic and gibberellic acids."" BMC Plant Biol 9: 48."
Incubator,,,Petri,9 cm,Filter paper,"Pedrol, N., et al. (2017). ""Optimal and synchronized germination of Robinia pseudoacacia, Acacia dealbata and other woody Fabaceae using a handheld rotary tool: concomitant reduction of physical and physiological seed dormancy."" Journal of Forestry Research 29(2): 283-290."
Incubator,,,Petri,,Filter paper,"Pegtel, D. M. (1985). ""Germination in Populations of Solanum Dulcamara L. From Contrasting Habitats."" New Phytologist 100(4): 671-679."
Incubator,,,Petri,9 cm,Cotton wool,"Perez-Fernandez, M. A. and S. Rodriguez-Echeverria (2003). ""Effect of smoke, charred wood, and nitrogenous compounds on seed germination of ten species from woodland in central-western Spain."" J Chem Ecol 29(1): 237-251."
Incubator,,,Petri,9 cm,Cotton wool,"Perez-Fernandez, M. A., et al. (2006). ""Seed germination in response to chemicals: effect of nitrogen and pH in the media."" J Environ Biol 27(1): 13-20."
Incubator,,,Petri,9 cm,Filter paper,"Pérez-García, F., et al. (2002). ""Effects of light, temperature and population variability on the germination of seven Spanish pines."" Seed Science Research 12(4): 261-271."
Incubator,,,Petri,6 cm,Filter paper,"PÉRez-GarcÍA, F., et al. (2003). ""Interpopulation variation in seed germination of five Mediterranean Labiatae shrubby species."" Israel Journal of Plant Sciences 51(2): 117-124."
Incubator,,,Petri,7 cm,Filter paper,"Pérez-García, F., et al. (2006). ""Hypericum perforatum L. Seed Germination: Interpopulation Variationand Effect of Light, Temperature, Presowing Treatments and Seed Desiccation."" Genetic Resources and Crop Evolution 53(6): 1187-1198."
Incubator,,,Petri,7 cm,Filter paper,"Pérez-García, F., et al. (2007). ""High viability recorded in ultra-dry seeds of 37 species of Brassicaceae after almost 40 years of storage."" Seed Science and Technology 35(1): 143-153."
Incubator,sodium hypochlorite (2%) and then treated with a commercial fungicide based on copper oxychloride (50%),,Tray,48 x 33 x 10 cm,Sand,"Pérez-Ramos, I. M. and T. Marañón (2009). ""Effects of waterlogging on seed germination of three Mediterranean oak species: Ecological implications."" Acta Oecologica 35(3): 422-428."
Incubator,,,Petri,,Sand,"Perglova, I., et al. (2009). ""Differences in germination and seedling establishment of alien and native Impatiens species."" Preslia 81(4): 357-375."
Incubator,,,,,Filter paper,"Persson, L., et al. (2006). ""The effect of endocarp and endocarp splitting resistance on warm stratification requirement of hawthorn seeds (Crataegus monogyna)."" Seed Science and Technology 34(3): 573-584."
Incubator,,,,,Filter paper,"Peterson, J. K. (1983). ""Mechanisms Involved in Delayed Germination of Quercus nigra L. Seeds."" Annals of Botany 52(1): 81-92."
Incubator,,,Pot,,Soil,"Phartyal, S. S., et al. (2009). ""Seed development and germination ecophysiology of the invasive tree Prunus serotina (Rosaceae) in a temperate forest in Western Europe."" Plant Ecology 204(2): 285-294."
Incubator,,,Petri,5.5 cm,Filter paper,"Phartyal, S. S., et al. (2009). ""Temperature requirements differ for the two stages of seed dormancy break in Aegopodium podagraria (Apiaceae), a species with deep complex morphophysiological dormancy."" Am J Bot 96(6): 1086-1095."
Incubator,,,Petri,9 cm,Filter paper,"Phartyal, S. S., et al. (2014). ""A comprehensive view of epicotyl dormancy in Viburnum furcatum: combining field studies with laboratory studies using temperature sequences."" Seed Science Research 24(04): 281-292."
Incubator,,,Petri,6 cm,Agar,"Picciau, R., et al. (2017). ""Can alternating temperature, moist chilling, and gibberellin interchangeably promote the completion of germination in Clematis vitalba seeds?"" Botany 95(8): 847-852."
Incubator,,,Petri,9 cm,Filter paper,"Pinfield, N. J. and P. A. Stutchbury (1990). ""Seed Dormancy in Acer: The Role of Testa-imposed and Embryo Dormancy in Acer velutinum."" Annals of Botany 66(2): 133-137."
Incubator,,,Petri,9 cm,Filter paper,"Pinfield, N. J. S., P. A.; Bazaid, S. M. (1987). ""Seed dormancy in Acer: Is there a common mechanism for all Acer species and what part is played in it by abscisic acid?"" Physiologia Plantarum 71(3): 365-371."
Incubator,,,Box,,Sand,"Pipinis, E., et al. (2012). ""Effects of stratification and pre-treatment with gibberellic acid on seed germination of two Carpinus species."" Seed Science and Technology 40(1): 21-31."
Incubator,,,Petri,9 cm,Sand,"Pipinis, E., et al. (2014). ""Dormancy-Breaking Requirements and Germination for Seeds of Ostrya carpinifolia Scop."" Notulae Botanicae Horti Agrobotanici Cluj-Napoca 42(1): 209-213."
Incubator,,,Petri,9 cm,Sand,"Pipinis, E., et al. (2015). ""Effects of dormancy-breaking treatments on seed germination of Koelreuteria paniculata and Mahonia aquifolium."" Dendrobiology 74: 149-155."
Incubator,,,Box,,Filter paper,"Pipinis, E., et al. (2017). ""Effects of Cold Stratification and Ga3 on Germination of Arbutus Unedo Seeds of Three Provenances."" Afr J Tradit Complement Altern Med 14(1): 318-323."
Incubator,,,Petri,9 cm,Filter paper,"Pita, J. M. S., V.; Escudero, A. (1998). ""Seed cryopreservation of seven Spanish native pine species."" Silvae Genetica 47(4): 220-223."
Incubator,5% (wlv) calcium hypochlorite for 5 min,,Petri,,Filter paper,"Pitel, J. A. C., W. M. (1988). ""Metabolism of enzymes with imbibition and germination of seeds of jack pine (Pinus banksiana)."" Canadian Journal of Botany 66(3): 542-547."
Incubator,,,Tray,,Kimpak,"Pitel, J. A. W., B. S. P. (1985). ""Physical and chemical treatments to improve laboratory germination of western white pine seeds."" Canadian Journal of Forest Research 15(6): 1187-1190."
Incubator,,,,,Filter paper,"Pitel, J. A. W., B. S. P.; Cheliak, W. M. (1984). ""Improving germination of hop-hornbeam seeds."" Canadian Journal of Forest Research 14(3): 464-466."
Room,,,Petri,9 cm,Filter paper,"Pliszko, A. and K. Kostrakiewicz-Gieralt (2018). ""Effect of cold stratification on seed germination in Solidago x niederederi (Asteraceae) and its parental species."" Biologia (Bratisl) 73(10): 945-950."
Incubator,,,,,Soil,"Pons, T. L. (1984). ""Possible significance of changes in the light requirement of Cirsium palustre seeds after dispersal in ash coppice."" Plant, Cell and Environment 7(4): 263-268."
Incubator,,,Petri,,Cotton wool,"Pons, T. L. (1991). ""Dormancy, Germination and Mortality of Seeds in a Chalk-Grassland Flora."" The Journal of Ecology 79(3): 765-780."
Incubator,,,,,,"Póvoa, O., et al. (2017). ""Adaptação ao cultivo de oregão (Origanum vulgare L.) na região de Elvas."" Revista de Ciências Agrárias 40(SP): S059-S070."
Incubator,,,Box,17.5 x 11.5 x 7.5 cm,Agar,"Pritchard, H. W. and K. R. Manger (1990). ""Quantal Response of Fruit and Seed Germination Rate inQuercus roburL. andCastanea sativaMill, to Constant Temperatures and Photon Dose."" Journal of Experimental Botany 41(12): 1549-1557."
Incubator,,,Petri,9 cm,,"Pritchard, H. W., et al. (1993). ""Influence of temperature on seed germination and the nutritional requirements for embryo growth in Arum maculatum L."" New Phytologist 123(4): 801-809."
Incubator,,,Petri,9 cm,Agar,"Probert, R. J. S., R. O. (1986). ""The joint action of phytochrome and alternating temperatures in the control of seed germination in Dactylis glomerata."" Physiologia Plantarum 67(2): 299-304."
Incubator,,,,,,"Probert, R. J., et al. (1985). ""Germination Responses to Light and Alternating Temperatures in European Populations of Dactylis Glomerata L."" New Phytologist 100(3): 447-455."
Incubator,,,Plate,3.5 x 2.5 cm,Agar,"Probert, R. J., et al. (1986). ""Germination Responses to Light and Alternating Temperatures in European Populations of Dactylis Glomerata L.. V. The Principle Components of the Alternating Temperature Requirement."" New Phytologist 102(1): 133-142."
Incubator,,,Box,17 × 12 cm,Peat and sand 1:1,"Prochazkova, Z. and L. Bezdeckova (2009). ""Effect of accelerated ageing on the viability and germination of European beech (Fagus sylvatica L.) seeds."" Seed Science and Technology 37(3): 699-712."
Incubator,,,Petri,,,"Putievsky, E. (1983). ""Temperature and daylength influences on the growth and germination of sweet basil and oregano."" Journal of Horticultural Science 58(4): 583-587."
,,,,,Sand,"Qin, J. and Q. Liu (2009). ""Oxidative metabolism-related changes during germination of mono maple (Acer mono Maxim.) seeds under seasonal frozen soil."" Ecological Research 25(2): 337-345."
Incubator,,,Petri,,Perlite,"Radvanyi, A. (1975). ""Effect of storage on germination of R-55 repellent-treated seed of white spruce."" The Forestry Chronicle 51(1): 21-23."
Incubator,,"amendments: 17.01 g blood meal4, 11.34 g greensand5, and 11.34 g colloidal phosphate6 per 3.8 L of mix",Pot,,"Soil, peat and vermiculite 1:1:1","Raghu, S. P., Susan L. (2008). ""Cold Stratification Requirements for Germination ofAlliaria petiolata."" Invasive Plant Science and Management 1(3): 315-318."
Incubator,,,Box,,Filter paper,"Ratajczak, E. and S. Pukacka (2005). ""Decrease in beech (Fagus sylvatica) seed viability caused by temperature and humidity conditions as related to membrane damage and lipid composition."" Acta Physiologiae Plantarum 27(1): 3-12."
Incubator,,,Box,,Filter paper,"Ratajczak, E., et al. (2015). ""Age-related changes in protein metabolism of beech (Fagus sylvatica L.) seeds during alleviation of dormancy and in the early stage of germination."" Plant Physiol Biochem 94: 114-121."
Incubator,,,Petri,,Filter paper,"Rawlins, J. K., et al. (2012). ""Predicting germination in semi-arid wildland seedbeds. I. Thermal germination models."" Environmental and Experimental Botany 76: 60-67."
Incubator,,,Petri,10 cm,Filter paper,"Ren, C. and A. R. Kermode (2000). ""An increase in pectin methyl esterase activity accompanies dormancy breakage and germination of yellow cedar seeds."" Plant Physiol 124(1): 231-242."
Incubator,,,Petri,9 cm,Filter paper,"Reyes, O. and L. Trabaud (2008). ""Germination behaviour of 14 Mediterranean species in relation to fire factors: smoke and heat."" Plant Ecology 202(1): 113-121."
Incubator,,,Petri,9 cm,Filter paper,"Richardson, W. C., et al. (2018). ""Use of auto-germ to model germination timing in the sagebrush-steppe."" Ecol Evol 8(23): 11533-11542."
Incubator,,,,,,"Richter, D. D. and G. L. Switzer (1982). ""A Technique for Determining Quantitative Expressions of Dormancy in Seeds."" Annals of Botany 50(4): 459-463."
Incubator,,,Petri,9 cm,Filter paper,"Roberts, H. A. and P. M. Lockett (1977). ""Temperature Requirements for Germination of Dry-Stored, Cold-Stored and Buried Seeds of Solanum Dulcamara L."" New Phytologist 79(3): 505-510."
Incubator,,,Petri,,Filter paper,"Robocker, W. C. (1977). ""GERMINATION OF SEEDS OF COMMON YARROW (ACHILLEA-MILLEFOLIUM) AND ITS HERBICIDAL CONTROL."" Weed Science 25(5): 456-459."
Incubator,,,Petri,8.5 cm,Filter paper,"Rosario Nuñez, M., et al. (2003). ""Predicting the probability of seed germination in Pinus sylvestris L. and four competitor shrub species after fire."" Annals of Forest Science 60(1): 75-81."
Incubator,3% hydrogen peroxide for 2 h,,Petri,10 cm,Filter paper,"Rosner, L. S. and J. T. Harrington (2004). ""Effect of stratification in polyethylene glycol solutions on germination of three North American shrub species."" Seed Science and Technology 32(2): 309-318."
Room,,,Box,45 x 20 x 10 cm,Sand,"Rostamikia, Y., et al. (2016). ""Effect of Plant Growth Promoting Rhizobacteria (PGPR) and Cold Stratification on Seed Germination and Early Growth of Corylus avellana L."" Austrian Journal of Forest Science 133(4): 337-352."
Incubator,,,Petri,9 cm,Sand,"Rounsaville, T. J., et al. (2018). ""Seed dynamics of the liana Euonymus fortunei (Celastraceae) and implications for invasibility."" The Journal of the Torrey Botanical Society 145(3): 225-236."
Incubator,0.3% captan,,Petri,15 cm,Filter paper,"Rowley, L., et al. (2007). ""Seed stratification of an intermountain west Chokecherry ecotype."" Journal of the American Pomological Society 61(4): 179-182."
,,,,,,"Russi, L. C., P. S.; Roberts, E. H. (1992). ""The Fate of Legume Seeds Eaten by Sheep from a Mediterranean Grassland."" The Journal of Applied Ecology 29(3): 772-778."
Greenhouse,,,Pot,15 cm,Filter paper,"Sahramaa, M. K. H., L. (2000). ""Seed production characters and germination performance of reed canary grass in Finland."" Agricultural and Food Science in Finland 9(3): 239-251."
Incubator,,,Petri,,Filter paper,"Sakurai, A. and K. Takahashi (2017). ""Flowering phenology and reproduction of the Solidago virgaurea L. complex along an elevational gradient on Mt Norikura, central Japan."" Plant Species Biology 32(4): 270-278."
Incubator,sodium hypochlorite (2%) for 20 min,,Petri,,,"Salahshoor, F. and F. Kazemi (2016). ""Effect of calcium on reducing salt stress in seed germination and early growth stage of Festuca ovina L.  ."" Plant, Soil and Environment 62(No. 10): 460-466."
Incubator,,,Petri,9 cm,Filter paper,"Santiago, A., et al. (2013). ""Species-specific environmental requirements to break seed dormancy: implications for selection of regeneration niches in three Lonicera (Caprifoliaceae) species."" Botany 91(4): 225-233."
Incubator,,,Petri,,Filter paper,"Santiago, A., et al. (2014). ""Non-deep simple morphophysiological dormancy in seeds of Viburnum lantana (Caprifoliaceae), a new dormancy level in the genus Viburnum."" Seed Science Research 25(01): 46-56."
Incubator,,,,,Filter paper,"Sarvas, R. (1950). ""Effect of Light on the Germination of Forest Tree Seeds."" Oikos 2(1): 109-119."
Room,,,Petri,,Filter paper,"Sasaki, S. K., T. T. (1968). ""Effects of Herbicides on Seed Germination and Early Seedling Development of Pinus resinosa."" Botanical Gazette 129(3): 238-246."
Incubator,,,Box,10 x 10 cm,Filter paper,"Sayers, R. L. W., Richard T. (1966). ""Germination Responses in Alpine Species."" Botanical Gazette 127(1): 11-16."
Incubator,20% hydrogen peroxide,,,,,"Schalin, I. (1967). ""Germination Analysis of Alnus incana (L.) Moench and Alnus glutinosa (L.) Gaertn. Seeds."" Oikos 18(2): 253-&."
Incubator,,,Petri,,Mesh nylon,"Scherbatskoy, T. K., Richard M.; Badger, G. J. (1987). ""Germination responses of forest tree seed to acidity and metal ions."" Environmental and Experimental Botany 27(2): 157-164."
Incubator,,,Box,,Filter paper,"Schmiedel, D. and O. Tackenberg (2013). ""Hydrochory and water induced germination enhance invasion of Fraxinus pennsylvanica."" Forest Ecology and Management 304: 437-443."
Incubator,,,Box,5.3 x 3.4 x 2 cm,Filter paper,"Schonfeld, M. A. C., R. J. (1983). ""Factors influencing seed movement and dormancy in grass seeds."" Grass and Forage Science 38(4): 243-250."
Incubator,,,Petri,9 cm,Filter paper,"Schütz, W. (1997). ""Are germination strategies important for the ability of cespitose wetland sedges (Carex) to grow in forests?"" Canadian Journal of Botany 75(10): 1692-1699."
Incubator,,,Petri,9 cm,Filter paper,"Schütz, W. (1997). ""Primary dormancy and annual dormancy cycles in seeds of six temperate wetland sedges."" Aquatic Botany 59(1-2): 75-85."
Incubator,10 min in 2 mL L71 Plant Preservative Mixture followed by 20 min in a sodium hypochlorite solution,MS medium,Petri,6 cm,MS medium,"Seglie, L., et al. (2012). ""In vitroseed germination and seedling propagation inCampanulaspp."" Plant Biosystems - An International Journal Dealing with all Aspects of Plant Biology 146(1): 15-23."
Incubator,,,Petri,9 cm,Filter paper,"Seiwa, K., et al. (2009). ""Spatio-temporal variation of environmental signals inducing seed germination in temperate conifer plantations and natural hardwood forests in northern Japan."" Forest Ecology and Management 257(1): 361-369."
Incubator,,,Petri,,Filter paper,"Seong, C. K. S., Ki Seon; Koo, Da Eun; Hana, Lee; Kim, Jong Jin; ???, (2018). ""Characteristics of Seed and Germination of Rhododendron mucronulatum by Collection Dates and Germination Temperatures."" Journal of Korean Society of Forest Science 107(3): 237-244."
Incubator,,,Petri,11 cm,Filter paper,"Sevik, H. and M. Cetin (2015). ""Effects of Water Stress on Seed Germination for Select Landscape Plants."" Polish Journal of Environmental Studies 24(2): 689-693."
Incubator,Calcium hypochlorite 2%,,Petri,9 cm,Filter paper,"Shannon, P. R. M. J., R. A.; Jarvis, B. C. (1983). ""Light-Sensitivity of Hazel Seeds with Respect to the Breaking of Dormancy."" Plant and Cell Physiology 24(5): 933-936."
Incubator,70% (v/v) ethanol for 30 s and 2% (v/v) sodium hypochlorite solution containing two drops of Tween-20 per 100 mL for 20 min,,Petri,9 cm,Agar,"Sharaf, A. R. N., et al. (2011). ""In vitro seed germination and micropropagation of primrose (Primula heterochroma Stapf.) an endemic endangered Iranian species via shoot tip explants."" Horticulture, Environment, and Biotechnology 52(3): 298-302."
Incubator,,,Petri,9 cm,Filter paper,"Shimomura, H. S., Yutaka; Nakata, Hiroyuki; Yamamoto, Akiko; Kawakubo, Yoshie; Kawasaki, Junichi (1983). ""Germination and Growth Inhibitors in Fruits of Gardenia jasminoides."" Plant and Cell Physiology 24(1): 123-126."
Incubator,,,Petri,9 cm,Filter paper,"Shimono, Y. and G. Kudo (2005). ""Comparisons of germination traits of alpine plants between fellfield and snowbed habitats."" Ecological Research 20(2): 189-197."
Incubator,,,Pot,3.5 cm,Sand and soil,"Shipley, B. P., M. (1991). ""Germination Responses of 64 Wetland Species in Relation to Seed Size, Minimum Time to Reproduction and Seedling Relative Growth Rate."" Functional Ecology 5(1): 111-118."
Incubator,,,Petri,,Agar,"Silvertown, J. (1980). ""Leaf-Canopy-Induced Seed Dormancy in a Grassland Flora."" New Phytologist 85(1): 109-118."
Incubator,,,Box,,Filter paper,"Simpson, J. D., et al. (2004). ""Long-term seed storage of various Canadian hardwoods and conifers."" Seed Science and Technology 32(2): 561-572."
Greenhouse,,,,,,"Smith, D. C. (1939). ""Influence of moisture and low temperature on the germination of hop seeds."" Journal of Agricultural Research 58: 0369-0381."
Incubator,,,Box,10 x 10 cm,Filter paper,"Sniezko, R. A., et al. (2017). ""Ex situ genetic conservation potential of seeds of two high elevation white pines."" New Forests 48(2): 245-261."
Incubator,,,Box,12 cm2,Filter paper,"Snow, A. G. S., A. G.; Borthwick, H. A.; Hendricks, S. B.; Toole, E. H. (1961). ""RESPONSES OF SEEDS OF PINUS VIRGINIANA TO LIGHT."" Plant Physiology 36(3): 285-+."
Incubator,,,,,,"Soares, V. N. E., Sabry G.; Gadotti, Gizele I.; Garay, Adriel E.; Villela, Francisco A. (2016). ""Can the Tetrazolium Test be Used as an Alternative to the Germination Test in Determining Seed Viability of Grass Species?"" Crop Science 56(2): 707-715."
Incubator,,,,,Kimpak,"Solarik, K. A., et al. (2016). ""Assessing tree germination resilience to global warming: a manipulative experiment using sugar maple (Acer saccharum)."" Seed Science Research 26(02): 153-164."
Incubator,,,Petri,11 cm,Filter paper,"Soltani, A., et al. (2005). ""Alleviation of physiological dormancy in oriental beechnuts with cold stratification at controlled and unrestricted hydration."" Seed Science and Technology 33(2): 283-292."
Incubator,1% sodium hypochloride for 15 min,,,,,"Song, D., et al. (2017). ""Seed dormancy in Camellia sinensis L. (Theaceae): effects of cold-stratification and exogenous gibberellic acid application on germination."" Botany 95(2): 147-152."
Incubator,,,Petri,10 cm,Filter paper,"Song, U., et al. (2014). ""Effects of three fire-suppressant foams on the germination and physiological responses of plants."" Environ Manage 54(4): 865-874."
Incubator,,,Petri,9 cm,Filter paper,"Song, Y., et al. (2018). ""Korean pine seed: linking changes in dormancy to germination in the 2 years following dispersal."" Forestry: An International Journal of Forest Research 91(1): 98-109."
Incubator,,,Petri,,Filter paper,"Sosnoskie, L. M. and J. Cardina (2017). ""Laboratory Methods for Breaking Dormancy in Garlic Mustard (Alliaria petiolata) Seeds."" Invasive Plant Science and Management 2(02): 185-189."
Incubator,,,Petri,5 cm,Agar,"Spindelbock, J. P., et al. (2013). ""Conditional cold avoidance drives between-population variation in germination behaviour in Calluna vulgaris."" Ann Bot 112(5): 801-810."
Incubator,,,Box,7 x 7 x 2.5 cm,Filter paper,"Springer, T. L. (2017). ""Recurrent selection increases seed germination in little bluestem (Schizachyrium scoparium)."" Euphytica 213(12)."
Incubator,,,Box,7 x 7 x 2.5 cm,Filter paper,"Springer, T. L. T., Eric T. (2017). ""APPARENT SEED DIGESTIBILITY AND GERMINATION OF SEEDS AFTER PASSAGE THROUGH THE DIGESTIVE SYSTEM OF NORTHERN BOBWHITE (COLINUS VIRGINIANUS)."" Southwestern Naturalist 62(3): 193-199."
Incubator,,,Petri,9 cm,Sand,"Spyroglou, G. and K. Radoglou (2017). ""Effect of pre-treatments on the germination of jasmin box (Phillyrea latifolia) seeds in Greece."" Bosque (Valdivia) 38(2): 347-355."
Incubator,,,,,,"Stanisavljevic, R., et al. (2011). ""Seed germination and seedling vigour of italian ryegrass, cocksfoot and timothy following harvest and storage."" Ciencia E Agrotecnologia 35(6): 1141-1148."
Incubator,,,,,Filter paper,"Stanisavljevic, R., et al. (2015). ""Enhancement of seed germination in three grass species using chemical and temperature treatments."" Range Management and Agroforestry 36(2): 115-121."
Incubator,,,Petri,,Filter paper,"Stanton, S., et al. (2010). ""Seed germination tests of the parasitic perennial Viscum album (Viscaceae) from fragmented habitats at the northern edge of its range."" Plant Ecology and Evolution 143(2): 113-118."
Incubator,,,Petri,,Filter paper,"Stearns, F. O., Jerry (1958). ""Interactions of Photoperiod and Temperature Affecting Seed Germination in Tsuga canadensis."" American Journal of Botany 45(1): 53-58."
Incubator,0.5% sodium hypochlorite,,Cup,177 cc,Perlite,"Stewart, R. N. S., Peter (1965). ""The Effect of the Interaction of Temperature with After-Ripening Requirement and Compensating Temperature on Germination of Seed of Five Species of Rosa."" American Journal of Botany 52(7): 755-&."
Incubator,,,Box,12 x 17 x 10 cm,Filter paper,"Struve, D. K. D., Martin F.; Bennett, Mark A. (1991). ""Aerated water soak increases red oak seed germination and seedling emergence."" Canadian Journal of Forest Research 21(8): 1257-1261."
Incubator,70% ethanol for 30 s and with 1% (v/v) sodium hypochlorite for 10 min,,Petri,9 cm,Filter paper,"Sun, Q. Y., Toshihiko; Takano, Tetsuo (2014). ""Salinity Effects on Germination, Growth, Photosynthesis, and Ion Accumulation in Wild Anderss. Populations."" Crop Science 54(6): 2760-2771."
Incubator,,,Petri,9 cm,Filter paper,"Susko, D. J. M., J. Paul; Spears, Janet F. (2001). ""An evaluation of methods for breaking seed dormancy in kudzu (Pueraria lobata)."" Canadian Journal of Botany 79(2): 197-203."
Incubator,,,,,Filter paper,"Suszka, B., et al. (2005). ""How long can seeds of Norway spruce (Picea abies (L.) Karst.) be stored?"" Annals of Forest Science 62(1): 73-78."
Incubator,,,Petri,9 cm,Filter paper,"Suzuki, K., et al. (2007). ""Responses of Liriope platyphylla F.T. Wang & T. Tang and Ophiopogon japonicus (L.f.) Ker Gawl. seeds to desiccation."" Seed Science and Technology 35(1): 129-133."
Incubator,,,Petri,8.5 cm,Agar,"Suzuki, W. (1997). ""Germination responses of Rubus palmatus var. coptophyllus and Rubus parvifolius  seeds with different burial durations to a variable light and temperature regime."" Ecological Research 12(2): 167-174."
Incubator,,,Petri,9 cm,Filter paper,"Takos, I. A. and G. S. Efthimiou (2003). ""Germination results on dormant seeds of fifteen tree species autumn sown in a northern Greek nursery."" Silvae Genetica 52(2): 67-71."
Incubator,,,,,,"Takos, I., et al. (2012). ""Can Electrical Conductivity Predict Seed Germination of Three Pinus Species?"" Silvae Genetica 61(1-6): 168-170."
Incubator,,,Petri,,Agar,"Tav?ano?lu, Ç., et al. (2015). ""Fire-related germination and early seedling growth in 21 herbaceous species in Central Anatolian steppe."" Journal of Arid Environments 122: 109-116."
Incubator,,,Petri,,Agar,"Tavsanoglu, C. (2011). ""Fire-Related Cues (Heat Shock and Smoke) and Seed Germination in a Cistus creticus Population in Southwestern Turkey."" Ekoloji 20(79): 99-104."
Incubator,,,Petri,15 cm,Filter paper,"Taylor, R. J. S., David C. (1983). ""Allelopathic effects of Engelmann spruce bark stilbenes and tannin–stilbene combinations on seed germination and seedling growth of selected conifers."" Canadian Journal of Botany 61(1): 279-289."
Incubator,,,Petri,,Filter paper,"Taylorson, R. B. (1987). ""Reverse bimodal action of 2,2,2-trifluoroethanol on Rumex crispus seed germination."" Physiologia Plantarum 69(4): 716-720."
